,NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST,SPG,BPG,TOPG,VI,ORTG,DRTG
590,Xavier Sneed,Mem,F,20.0,2,3.9,8.0,10.7,0.0,0,0.0,0,0.0,2,0.0,0.0,0.0,0.0,1.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,,
591,Xavier Sneed,Uta,F,20.0,5,4.4,9.2,9.9,0.0,0,0.0,1,1.0,4,0.25,0.5,0.5,1.0,0.4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,104.2,117.6
592,Tony Snell,Por,G,30.39,38,14.4,29.9,8.6,10.1,3,1.0,22,0.545,75,0.32,0.495,0.503,2.6,1.9,7.2,0.6,5.2,0.21,0.18,0.29,4.0,104.2,113.4
593,Tony Snell,Nor,G,30.39,11,20.9,43.5,11.8,11.1,0,0.0,12,0.5,44,0.409,0.589,0.589,6.0,2.6,7.0,0.5,3.0,0.55,0.18,0.64,3.8,108.4,107.0
594,Jaden Springer,Phi,G,19.52,2,2.8,5.8,16.1,50.0,0,0.0,1,1.0,0,0.0,1.0,1.0,1.0,1.0,19.9,0.0,0.0,0.0,1.0,0.5,0.0,,
595,Cassius Stanley,Det,G,22.62,9,17.2,35.9,15.6,10.6,10,1.0,29,0.517,17,0.235,0.457,0.516,5.8,2.1,6.6,0.4,3.9,0.56,0.22,0.67,3.9,101.3,107.0
596,Nik Stauskas,Mia,G,28.48,2,11.9,24.7,18.3,0.0,4,0.75,4,0.25,4,0.5,0.5,0.564,5.5,1.5,7.2,0.5,6.1,0.0,0.0,0.0,5.4,127.1,111.3
597,Nik Stauskas,Bos,G,28.48,6,2.5,5.2,23.0,12.7,2,0.5,0,0.0,6,0.333,0.5,0.509,1.2,0.0,0.0,0.2,9.5,0.0,0.0,0.17,0.0,,
598,Lance Stephenson,Atl,F,31.57,6,11.6,24.1,11.2,22.4,2,0.5,10,0.5,3,0.0,0.385,0.396,1.8,2.5,11.8,1.8,20.0,0.0,0.0,0.67,6.9,91.6,105.5
599,Lance Stephenson,Ind,F,31.57,35,19.1,39.7,23.9,16.4,67,0.791,198,0.52,83,0.289,0.495,0.533,9.5,2.9,8.3,3.7,29.3,0.6,0.09,1.74,9.8,105.6,107.0
600,Lamar Stevens,Cle,F,24.73,58,15.6,32.6,17.0,10.9,66,0.697,224,0.54,58,0.31,0.525,0.55,5.9,2.5,8.9,0.7,6.4,0.48,0.24,0.66,5.6,108.1,101.5
